suchen,ersetzen
[Adressat],Adressat
[Adressat/in],Adressat
[Bearbeiter],Bearbeiter
[Bearbeiter/in],Bearbeiter
[Behandelte Körperschaft],Behandelte Person/Körperschaft
[Behandelte Person],Behandelte Person/Körperschaft
[Dokumentierte Körperschaft],Dokumentierte Person/Körperschaft
[Dokumentierte Person],Dokumentierte Person/Körperschaft
[Gefeierte Körperschaft],Gefeierter
[Gefeierte Person],Gefeierter
[Herausgeber],Herausgeber
[Herausgeber/in],Herausgeber
[Illustrator],Illustrator
[Illustrator/in],Illustrator
[Interviewer/in],Interviewer
[Interviewer],Interviewer
[Interviewte Körperschaft],Interviewter
[Interviewte Person],Interviewter
[Komponist/in],Komponist
[Komponist],Komponist
[Korrespondenzpartner/in],Korrespondent
[Korrespondenzpartner],Korrespondent
[Künstler/in],Künstler
[Künstler],Künstler
[Librettist/in],Librettist
[Librettist],Librettist
[Mitunterzeichner/in],Mitunterzeichner
[Mitunterzeichner],Mitunterzeichner
[Fotograf/in],Fotograf
[Redakteur/in],Redakteur
[Redakteur],Redakteur
[Rezensent/in],Rezensent
[Rezensent],Rezensent
[Schreiber/in],Schreiber (Abschrift)
[Schreiber],Schreiber (Abschrift)
[Sendeanstalt],Sendeanstalt
[Sonstige],"Sonstige Person, Familie und Körperschaft"
[Übersetzer/in],Übersetzer
[Übersetzer],Übersetzer
[Verfasser/in],Verfasser/Urheber
[Verfasser],Verfasser/Urheber
[Vor-/Nachwort],Verfasser eines Vor- oder Nachworts
[Werktitel Körperschaft],Werktitel Person/Körperschaft
[Werktitel Person],Werktitel Person/Körperschaft
[Widmungsempfänger/in],Widmungsempfänger
[Widmungsempfänger],Widmungsempfänger
[Widmungsschreiber/in],Widmungsschreiber
[Widmungsschreiber],Widmungsschreiber
Urheber/in,Verfasser/Urheber
Urheber/in der Vorlage,Verfasser/Urheber
Sonstige/r Urheber/in,Verfasser/Urheber
Verfasser,Verfasser/Urheber
Verfasser eines Nachworts,Verfasser eines Vor- oder Nachworts
Verfasser eines Vorworts,Verfasser eines Vor- oder Nachworts
Werktitel,Werktitel Person/Körperschaft
