suchen,ersetzen
22,
Bildtonträger,
CD,Audio-CD
"CD-ROM, Computerdatei",CD-ROM
Datenträger,Sonstiger Datenträger
DAT,Audiokassette
Druckschrift,
DVD-Video,Video-DVD
Elektronische Ressource,Online-Ressource
Elektronisches Speichermedium,Sonstiger Datenträger
Karte,Karte / Plan
Kompositionen,Noten
konventionelles Spiel,Spiel
Landkarte,Karte / Plan
Maschinenlesbare Datenträger,Sonstiger Datenträger
Micro-Cassette,Audiokassette
Mikrofiche,Mikroform
"Mikrofiche, Mikrofilm",Mikroform
Mikrofilm,Mikroform
säurefreies Papier,
Tonkassette,Audiokassette
Tonträger,
Video,Videokassette
