suchen,ersetzen
Administrative Überordnung,Administrative Unterordnung
Angeregt durch,Anregung für
Aufgegangen in,Darin aufgegangen
Aussteller,Ausstellung
Basiert auf,Abgeleitet
Bearbeitung als Graphic Novel von,Bearbeitet als Graphic Novel
Bearbeitung für Kinder und Jugendliche basiert auf,Bearbeitet für Kinder und Jugendliche
Bearbeitung von,Bearbeitet als
Bekanntschaft mit,Bekanntschaft mit
Beziehung beruflich,Beziehung beruflich
Beziehung familiär,Beziehung familiär
Beziehung thematisch,Beziehung thematisch
Bruder,Geschwister
Bühnenbearbeitung von,Bühnenbearbeitung als
Bühnenmusik für,Bühnenmusik
Choreografische Bearbeitung von,Bearbeitet als Choreografie
Drehbuch für Film,Filmdrehbuch
Ehefrau,Ehepaar
Ehemann,Ehepaar
Elektronische Reproduktion von,Elektronische Reproduktion
Enthalten in,Enthält
Ergänzung zu,Ergänzt
Erscheint auch als Druck-Ausgabe,Erscheint auch als Online-Ausgabe
Erscheint auch als E-Medium,Erscheint auch als Druck-Ausgabe
Erscheint auch als,Erscheint auch als
Ersetzt durch,Ersatz von
Erweitert durch,Erweitert als
Erweiterte Ausgabe von,Erweitert als
Faksimile von,Faksimile
Fernsehbearbeitung von,Bearbeitet als Fernsehsendung
Filmbearbeitung von,Bearbeitet als Film
Filmdrehbuch basiert auf,Bearbeitet als Filmdrehbuch
Filmmusik für,Filmmusik
Fortgesetzt durch,Fortsetzung von
Fortsetzung von,Fortgesetzt durch
Freie Übersetzung von,Frei übersetzt als
Gefolgt von,Vorangegangen ist
Gesplittet in,Teilweise Fortsetzung von
Gründer,gegründet durch
Herausgeber,herausgegeben durch
Hörspielbearbeitung von,Bearbeitet als Hörspiel
Hörspielmanuskript basiert auf,Bearbeitet als Hörspielmanuskript
Illustrationen für,Illustrationen
Imitation von,Imitiert als
In Beziehung stehende Manifestation,In Beziehung stehende Manifestation
In Beziehung stehendes Werk,In Beziehung stehendes Werk
Kommentar zu,Kommentar
Korrespondenzpartner,Korrespondenzpartner
Libretto basiert auf,Bearbeitet als Libretto
Libretto für,Libretto
Manuskript für das Hörspiel,Hörspielmanuskript
Mitglied,Mitglied
Mutter,Kind
Nachdruck von,Nachgedruckt als
Nachfolger,Vorgänger
Nachfolger,Vorgänger
"Name, zeitweise","Name, zeitweise"
Oberbegriff allgemein,Unterbegriff allgemein
Oberbegriff generisch,Unterbegriff generisch
Oberbegriff instantiell,Unterbegriff instantiell
Opernbearbeitung von,Bearbeitet als Oper
Parallele Sprachausgabe,Parallele Sprachausgabe
Parodie von,Parodiert als
Pseudonym,Wirklicher Name
Radiobearbeitung von,Bearbeitet als Radiosendung
Remake von,Remake als
Reproduktion von,Reproduziert als
Rezension von,Rezensiert in
Schwester,Geschwister
Sohn,Eltern
Sonderdruck aus,Sonderdruck
Supplement zu,Supplement
Teilweise aufgegangen in,Teilweise darin aufgegangen
Teilweise ersetzt durch,Teilweise Ersatz von
Teilweise fortgesetzt durch,Abgespalten von
Tochter,Eltern
Vater,Kind
Veranstalter,Veranstaltung
Veranstaltungsort,Veranstaltung
Vereinigung von,Vereinigt als
"Vereinigt, um ... zu bilden",Vereinigung von
Vertont von,Vertont als
Verwandter Begriff,Verwandter Begriff
Verwandter Begriff,Verwandter Begriff
Vorangegangen ist,Gefolgt von
Vorangegangen ist,Nachfolger
Vorgänger,Nachfolger
Zeitweise,Früher/Später
