uid	record_id	hasChild	parent_id	display
10000000	10000000	1	0	Autoren- und Körperschaftsschema
10000001	10000001	1	10000000	?123
10000002	10000002	1	10000000	A
10000003	10000003	1	10000000	B
10000004	10000004	1	10000000	C
10000005	10000005	1	10000000	D
10000006	10000006	1	10000000	E
10000007	10000007	1	10000000	F
10000008	10000008	1	10000000	G
10000009	10000009	1	10000000	H
10000010	10000010	1	10000000	I
10000011	10000011	1	10000000	J
10000012	10000012	1	10000000	K
10000013	10000013	1	10000000	L
10000014	10000014	1	10000000	M
10000015	10000015	1	10000000	N
10000016	10000016	1	10000000	O
10000017	10000017	1	10000000	P
10000018	10000018	1	10000000	Q
10000019	10000019	1	10000000	R
10000020	10000020	1	10000000	S
10000021	10000021	1	10000000	T
10000022	10000022	1	10000000	U
10000023	10000023	1	10000000	V
10000024	10000024	1	10000000	W
10000025	10000025	1	10000000	X
10000026	10000026	1	10000000	Y
10000027	10000027	1	10000000	Z
