uid	record_id	hasChild	parent_id	display
40000000	40000000	1	0	Provenienz-Thesaurus
40000001	40000001	1	40000000	?123
40000002	40000002	1	40000000	A
40000003	40000003	1	40000000	B
40000004	40000004	1	40000000	C
40000005	40000005	1	40000000	D
40000006	40000006	1	40000000	E
40000007	40000007	1	40000000	F
40000008	40000008	1	40000000	G
40000009	40000009	1	40000000	H
40000010	40000010	1	40000000	I
40000011	40000011	1	40000000	J
40000012	40000012	1	40000000	K
40000013	40000013	1	40000000	L
40000014	40000014	1	40000000	M
40000015	40000015	1	40000000	N
40000016	40000016	1	40000000	O
40000017	40000017	1	40000000	P
40000018	40000018	1	40000000	Q
40000019	40000019	1	40000000	R
40000020	40000020	1	40000000	S
40000021	40000021	1	40000000	T
40000022	40000022	1	40000000	U
40000023	40000023	1	40000000	V
40000024	40000024	1	40000000	W
40000025	40000025	1	40000000	X
40000026	40000026	1	40000000	Y
40000027	40000027	1	40000000	Z
