uid	record_id	hasChild	parent_id	displayTree	display	displayName	displayAddition1	displayAddition2	facet_value
0	0	1	0	root	root				
1	1	1	0	A	A				
2	2	1	0	B	B				
3	3	1	0	C	C				
4	4	1	0	D	D				
5	5	1	0	E	E				
6	6	1	0	F	F				
7	7	1	0	G	G				
8	8	1	0	H	H				
9	9	1	0	I	I				
10	10	1	0	J	J				
11	11	1	0	K	K				
12	12	1	0	L	L				
13	13	1	0	M	M				
14	14	1	0	N	N				
15	15	1	0	O	O				
16	16	1	0	P	P				
17	17	1	0	Q	Q				
18	18	1	0	R	R				
19	19	1	0	S	S				
20	20	1	0	T	T				
21	21	1	0	U	U				
22	22	1	0	V	V				
23	23	1	0	W	W				
24	24	1	0	X	X				
25	25	1	0	Y	Y				
26	26	1	0	Z	Z				
