source,field,type,description,count,percent,items,unique,most_frequent_value
AK,callNumberBibliographic_mv,strings,,596634,33 %,596634,6578,XHm
AK,category,text,,1805393,100 %,1805393,7,Bibliotheksdokumente
AK,categoryContent_mv,texts,,1512836,84 %,1519927,16,['Text']
AK,categoryMedia_mv,texts,,1540524,85 %,1647129,32,['Druckschrift']
AK,categoryMedium_mv,texts,,1582627,88 %,1583016,25,['Band']
AK,categoryPublication_mv,texts,,381141,21 %,423119,69,['Rezension']
AK,categorySub,text,,1805373,100 %,1805373,9,Einzelbestandteil / unselbständiges Werk
AK,categorySubSub,text,,1625798,90 %,1625798,29,Druckschrift
AK,classification_category_mv,texts,aus SE category,743421,41 %,1098423,4,['Kette Bibliothek']
AK,classification_display_mv,texts,aus SE display,743477,41 %,1098485,196993,['S14.5 Kunst / Einzelne Künstler']
AK,classification_id_mv,strings,,743477,41 %,1098485,197361,['SE00130035']
AK,classificationSubjectOther_mv,texts,,114911,6 %,141600,887,['12.2p']
AK,confidential,boolean,,1732534,96 %,1732534,1,False
AK,contributor_display_mv,texts,Bündelung aller Beteiligten für die Anzeige,397927,22 %,758329,183287,"['Goethe, Johann Wolfgang von (1749-1832)']"
AK,contributor_id_mv,strings,Bündelung aller Beteiligten für die Anzeige,397927,22 %,758329,183813,['PE00000863']
AK,contributor_role_mv,strings,Bündelung aller Urheber für die Anzeige,385528,21 %,742942,57,['Herausgeber']
AK,corporationAbout_display_mv,texts,aus KS display,27630,2 %,29659,13287,"['Schiller-Nationalmuseum und Deutsches Literaturarchiv <Marbach, Neckar> (1955-2005)']"
AK,corporationAbout_id_mv,strings,,27630,2 %,29659,13288,['KS00000246']
AK,corporationBy_creator_mv,strings,,51803,3 %,63263,3,['contributor']
AK,corporationBy_display_mv,texts,aus KS display,51814,3 %,63275,21995,['Arbeitskreis für Deutsche Dichtung (1957-)']
AK,corporationBy_id_mv,strings,,51814,3 %,63275,22017,['KS00015383']
AK,corporationBy_role_mv,strings,,51805,3 %,63265,41,"['Sonstige Person, Familie und Körperschaft']"
