id,display,callNumberBibliographic_mv,category,categoryContent_mv,categoryMedia_mv,categoryMedium_mv,categoryPublication_mv,categorySub,categorySubSub,classificationSubjectOther_mv,classification_category_mv,classification_display_mv,classification_id_mv,confidential,contributor_display_mv,contributor_id_mv,corporationAbout_display_mv,corporationAbout_id_mv,corporationByConference_creator_mv,corporationByConference_display_mv,corporationByConference_id_mv,corporationByConference_role_mv,corporationByTerritory_creator_mv,corporationByTerritory_display_mv,corporationByTerritory_id_mv,corporationByTerritory_role_mv,corporationBy_creator_mv,corporationBy_display_mv,corporationBy_id_mv,corporationBy_role_mv,country_mv,creator_display_mv,creator_id_mv,dateCataloged,dateModified,dateOrigin,dateOriginComment_mv,description_text_mv,description_type_mv,digitalObject_accessLevel_mv,digitalObject_display_mv,digitalObject_fileExtension_mv,digitalObject_hyperlink_mv,digitalObject_id_mv,digitalObject_licenseNote_mv,digitalObject_license_mv,digitalObject_thumbnail_mv,displayAddition1,displayAddition2,displayName,edition,editionNormalized,extent,extentFormat,extentIllustrations_mv,extentSupplements,filterAuthorityRelation_mv,filterAuthorityRole_mv,filterAuthority_mv,filterBibliography_mv,filterCollection_mv,filterDatePoint_mv,filterDateRange_mv,filterDigital,filterFormContent_mv,filterLanguageType_mv,filterLanguage_mv,filterLocationType_mv,filterLocation_mv,filterMedium_mv,filterRecent,filterSource,filterSubject_mv,filterType,genreOther_mv,gnd_id_mv,headword_mv,identifier_id_mv,identifier_type_mv,index,inventory,inventoryMissing,isbn_mv,ismn_mv,issn_mv,item_accessionNumber_mv,item_broadcastDate_mv,item_broadcastStation_mv,item_callNumberCollection_mv,item_callNumberItemSuffix_mv,item_callNumberItem_mv,item_callNumberReadingRoom_mv,item_classification_display_mv,item_classification_id_mv,item_collection_display_mv,item_collection_id_mv,item_corporationAt_display_mv,item_corporationAt_id_mv,item_digitalObject_accessLevel_mv,item_digitalObject_display_mv,item_digitalObject_fileExtension_mv,item_digitalObject_hyperlink_mv,item_digitalObject_id_mv,item_digitalObject_licenseNote_mv,item_digitalObject_license_mv,item_digitalObject_thumbnail_mv,item_display_mv,item_enveloped_mv,item_id_mv,item_location_mv,item_noteOther_mv,item_noteProvenance_mv,item_personAt_display_mv,item_personAt_id_mv,item_provenance_mv,item_usageRestrictionNote_mv,item_usageRestriction_mv,item_virtualRecording_mv,journalIssue_display_mv,journalIssue_id_mv,languageOriginal_mv,language_mv,linkCommonsImage_file_mv,linkCommonsImage_rights_mv,linkFilmportal_mv,linkWikidata,linkWikidataWebsite_mv,linkWikipedia,note,noteBibliography_mv,noteContent_mv,noteExplanatory_text_mv,noteExplanatory_type_mv,noteFootnote_text_mv,noteFootnote_type_mv,noteOther_mv,noteRemark_text_mv,noteRemark_type_mv,noteRequirements_mv,parentIssueDate,parentIssueNumber,parentIssuePage,parentIssueVolume,parentIssueYear,parentIssueYearVolume,parentTitleOriginal_mv,parentVolumeNormalized_mv,parentVolumeTotal,parentVolume_mv,parent_displayAddition1_mv,parent_display_mv,parent_id_mv,parent_titleResponsability_mv,parent_type_mv,personAbout_display_mv,personAbout_id_mv,personBy_creator_mv,personBy_display_mv,personBy_id_mv,personBy_role_mv,publicationHistory,publisherOriginalLocation_mv,publisherOriginal_text_mv,publisherOriginal_type_mv,publisher_display_mv,publisher_id_mv,reference_text_mv,reference_type_mv,relation_comment_mv,relation_id_mv,relation_text_mv,relation_type_mv,schemaVersion,scholarlyPublication_date_mv,scholarlyPublication_location_mv,scholarlyPublication_text_mv,scholarlyPublication_type_mv,searchCollectionCreator_display_mv,searchCollectionCreator_id_mv,searchEntityScore,searchEntity_id_mv,searchSuggestPayload,searchSuggestTerm_mv,source,statusCataloging,statusEditing,statusJournalReview,subjectOther_mv,subject_display_mv,subject_id_mv,subject_useTerm_mv,subject_usedFor_mv,subseries,supplements_id_mv,textualHolding_mv,title,titleMain_text,titleOther_language_mv,titleOther_text_mv,titleOther_type_mv,titleResponsability,titleResponsabilityFull,titleShort,titleSuffix,url,usageRestrictionNote,vendor_id_mv,vendor_type_mv,website_description_mv,website_url_mv,workAbout_display_mv,workAbout_id_mv,workAbout_titleOther_text_mv,workCompilation_display_mv,workCompilation_id_mv,work_display_mv,work_id_mv
AK00000001,Bibliotheksdokument 1 - Ausgabebezeichnung Vorlageform : [Veröffentlichungsart 1],Lokale Signatur 1␟Lokale Signatur 2,Dokumententyp,Inhaltstyp 1␟Inhaltstyp 2,Medienart 1␟Medienart 2,Datenträger 1␟Datenträger 2,Veröffentlichungsart 1␟Veröffentlichungsart 2,Erscheinungsform,Erweiterte physikalische Form,Systematik unnormiert 1␟Systematik unnormiert 2␟Registerbegriffe,Kettentyp␟␣␟␣,Sacherschließungskette 1␟Sacherschließungskette 2␟SE99999999,SE00000001␟SE00000002␟SE99999999,false,Person 2 (1982–2001)␟PE99999999␟Körperschaft 1 (1982–2001)␟Körperschaft 2␟Konferenz 1␟Konferenz 2␟KS99999999␟Gebietskörperschaft 2␟TH99999999,PE00000002␟PE99999999␟KS00000001␟KS00000002␟KS00000021␟KS00000022␟KS99999999␟TH00000012␟TH99999999,Körperschaft 3␟Körperschaft 4␟KS99999999,KS00000003␟KS00000004␟KS99999999,contributor␟contributor␟contributor,Konferenz 1␟Konferenz 2␟KS99999999,KS00000021␟KS00000022␟KS99999999,Link Konferenz 1 Typ␟Link Konferenz 2 Typ␟␣,creator␟contributor␟contributor,Gebietskörperschaft 1␟Gebietskörperschaft 2␟TH99999999,TH00000011␟TH00000012␟TH99999999,Link Gebietskörperschaft 1 Typ␟Link Gebietskörperschaft 2 Typ␟␣,contributor␟contributor␟creator,Körperschaft 1 (1982–2001)␟Körperschaft 2␟KS99999999,KS00000001␟KS00000002␟KS99999999,Verfasser/Urheber␟Behandelte Person/Körperschaft␟␣,Land 1␟Land 2,Person 1 (1982–2001)␟KS99999999␟Gebietskörperschaft 1,PE00000001␟KS99999999␟TH00000011,2023-06-01,2023-06-06,2023,Jahr/Datum 1␟Jahr/Datum 2,Physikalische Beschreibung 1␟Physikalische Beschreibung 2,Physikalische Beschreibung 1 Typ␟Physikalische Beschreibung 2 Typ,Zugriffsstufe␟␣,Multimedia 1␟Multimedia 2,,,MM00000001␟MM00000002,Creative Commons 10th Birthday Celebration San Francisco / Timothy Vollmer / CC BY 4.0. Quelle: http://www.flickr.com/photos/sixteenmilesofstring/8256206923/in/set-72157632200936657␟␣,,,"Verlagsort 1 : Verlag Vorlageform 1, Jahr/Datum 1 - Umfang","Bibliographie 1, Bibliographie 2",Person 1 (1982–2001); Person 2 (1982–2001); PE99999999; Körperschaft 1 (1982–2001); Körperschaft 2; KS99999999,Ausgabebezeichnung Vorlageform,Ausgabebezeichnung normiert,Umfang,Format,Illustrationen 1␟Illustrationen 2,Begleitmaterial,Person 1 (1982–2001)␝Von␟Person 2 (1982–2001)␝Von␟PE99999999␝nicht bestimmt␟Körperschaft 1 (1982–2001)␝Von␟Körperschaft 2␝Von␟KS99999999␝nicht bestimmt␟Person 1 (1982–2001)␝Unter␟Person 2 (1982–2001)␝Unter␟Körperschaft 1 (1982–2001)␝Unter␟Körperschaft 2␝Unter,Person 1 (1982–2001)␝Verfasser/Urheber␟Person 2 (1982–2001)␝Behandelte Person/Körperschaft␟PE99999999␝nicht bestimmt␟Körperschaft 1 (1982–2001)␝Verfasser/Urheber␟Körperschaft 2␝Behandelte Person/Körperschaft␟KS99999999␝nicht bestimmt␟Person 1 (1982–2001)␝Bestandsbildner/Vorbesitzer␟Person 2 (1982–2001)␝Bestandsbildner/Vorbesitzer␟Körperschaft 1 (1982–2001)␝Bestandsbildner/Vorbesitzer␟Körperschaft 2␝Bestandsbildner/Vorbesitzer,Person 1 (1982–2001)␟Person 2 (1982–2001)␟PE99999999␟Körperschaft 1 (1982–2001)␟Körperschaft 2␟KS99999999,Bibliographie 1␟Bibliographie 2,Z:Öffentlicher Bestand 1␟Z:Öffentlicher Bestand 2␟BF99999999,2023-01-01T00:00:00Z,2023,,Gattung 1␟Gattung 2␟Veröffentlichungsart 1␟Veröffentlichungsart 2,Sprache 1␝Übersetzung␟Sprache 2␝Übersetzung␟Sprache Original 1␝Original␟Sprache Original 2␝Original,Sprache 1␟Sprache 2␟Sprache Original 1␟Sprache Original 2,Verlagsort 1␝Erscheinungsort␟Verlagsort 2␝Erscheinungsort␟Hochschulschrift 1 Ort␝Erscheinungsort␟Hochschulschrift 2 Ort␝Erscheinungsort␟Thesaurus-Begriff 1␝Schlagwort␟Thesaurus-Begriff 1␝Provenienzort,Verlagsort 1␟Verlagsort 2␟Hochschulschrift 1 Ort␟Hochschulschrift 2 Ort␟Thesaurus-Begriff 1,Erweiterte physikalische Form␟Medienart 1␟Medienart 2␟Buchumschlag,2023-06-01,Bibliotheksmaterialien,Thesaurus-Begriff 1␟Thesaurus-Begriff 2␟Basisnotation 1␟Basisnotation 2␟Autorenschema 1␟Autorenschema 2␟Person 1 (1982–2001)␟Person 2 (1982–2001)␟Körperschaft 1␟Körperschaft 2␟Bibliotheksdokument 1␟Vertrauliches Bibliotheksdokument 2,Sonstiges,Gattung 1␟Gattung 2,,Stichwort 1␟Stichwort 2,Standardnummer 1␟Standardnummer 2,Standardnummer 1 Typ␟Standardnummer 2 Typ,Register,Bestandsangabe,Bestandslücken,ISBN 1␟ISBN 2,ISMN 1␟ISMN 2,ISSN 1␟ISSN 2,Zugangsnummer,2023,Sendeanstalt,Bestandssignatur 1␝Bestandssignatur 2,Exemplarsignaturzusatz,Exemplarsignatur,Lesesaalsignatur,Sacherschließungskette 1␝Sacherschließungskette 2␝SE99999999,SE00000001␝SE00000002␝SE99999999,"Z:Öffentlicher Bestand 1 - [Bestandstyp, Bestandsart, Unterbestandsart]␝Z:Öffentlicher Bestand 2␝BF99999999",BF00000001␝BF00000002␝BF99999999,Körperschaft 1 (1982–2001)␝Körperschaft 2␝KS99999999,KS00000001␝KS00000002␝KS99999999,Zugriffsstufe␝␣,Multimedia 1␝Multimedia 2,,,MM00000001␝MM00000002,Creative Commons 10th Birthday Celebration San Francisco / Timothy Vollmer / CC BY 4.0. Quelle: http://www.flickr.com/photos/sixteenmilesofstring/8256206923/in/set-72157632200936657␝␣,,,Öffentliches Exemplar,true,AU00000001,Standort,Bemerkung,Sammlungsspezifischer Vermerk 1 Typ: Sammlungsspezifischer Vermerk 1; Sammlungsspezifischer Vermerk 2 Typ: Sammlungsspezifischer Vermerk 2,Person 1 (1982–2001)␝Person 2 (1982–2001)␝PE99999999,PE00000001␝PE00000002␝PE99999999,true,,Benutzungsbeschränkung,Virtuelle Aufnahme,Zeitschriftenheft 1␟Zeitschriftenheft 2␟AK99999999,AK00000051␟AK00000052␟AK99999999,Sprache Original 1␟Sprache Original 2,Sprache 1␟Sprache 2,,,,,,,Bemerkung extern,Bibliographie 1␟Bibliographie 2,Inhalt 1␟Inhalt 2,Ergänzende Bemerkung 1␟Ergänzende Bemerkung 2,Ergänzende Bemerkung 1 Typ␟Ergänzende Bemerkung 2 Typ,Fußnote 1␟Fußnote 2,Fußnote 1 Typ␟Fußnote 2 Typ,Sonstiges 1␟Sonstiges 2,Kommentar 1␟Kommentar 2,Kommentar 1 Typ␟Kommentar 2 Typ,Systemvoraussetzung 1␟Systemvoraussetzung 2,2023,Zeitschrift Heft,Zeitschrift Seiten,Zeitschrift Band,Zeitschrift Berichtsjahr,Zeitschrift Jahrgang/Nummer,Titel der größeren Einheit in Vorlageform 1␟Titel der größeren Einheit in Vorlageform 2,Bandangabe Sortierform 1␟Bandangabe Sortierform 2,Bandzählung Quelle gesamt,Bandangabe 1␟Bandangabe 2,,Gesamttitel 1␟Gesamttitel 2␟AK99999999,AK00000011␟AK00000012␟AK99999999,,Link Gesamttitel 1 Typ␟Link Gesamttitel 2 Typ␟␣,Person 3 (1982–2001)␟Person 4␟PE99999999,PE00000003␟PE00000004␟PE99999999,creator␟contributor␟contributor,Person 1 (1982–2001)␟Person 2 (1982–2001)␟PE99999999,PE00000001␟PE00000002␟PE99999999,Verfasser/Urheber␟Behandelte Person/Körperschaft␟␣,Erscheinungsverlauf bei Zeitschriften und Reihen,Verlagsort 1␟Verlagsort 2,Verlag Vorlageform 1␟Verlag Vorlageform 2,Verlag 1 Typ␟Verlag 1 Typ,Verlag 1␟Verlag 2␟KS99999999,KS00000011␟KS00000012␟KS99999999,Quellenangabe 1␟Quellenangabe 2,Quellenangabe 1 Typ␟Quellenangabe 2 Typ,,AK00000041␟AK00000042␟AK99999999,Manifestation 1␟Manifestation 2␟␣,Link Manifestation 1 Typ␟Link Manifestation 2 Typ␟␣,0.11.0,1999␟2023,Hochschulschrift 1 Ort␟Hochschulschrift 2 Ort,Hochschulschrift 1 Name␟Hochschulschrift 2 Name,Hochschulschrift 1 Art␟Hochschulschrift 2 Art,Person 3 (1982–2001)␟Person 4␟PE99999999␟Körperschaft 5␟Körperschaft 6␟KS99999999,PE00000003␟PE00000004␟PE99999999␟KS00000005␟KS00000006␟KS99999999,,KS00000003␟KS00000004␟KS99999999␟KS00000001␟KS00000002␟KS00000021␟KS00000022␟PE00000001␟PE00000002␟PE99999999␟PE00000003␟PE00000004␟KS00000011␟KS00000012␟AK00000023␟AK00000021␟AK00000022,,,AK,Erfassungsstatus,Bearbeitungsstatus,Kennzeichnung auszuwertende Zeitschriften,Schlagwort unnormiert 1 (Achtung: Bei Werktiteln GND-Relation)␟Schlagwort unnormiert 2 (Achtung: Bei Werktiteln GND-Relation),Thesaurus-Begriff 1␟Thesaurus-Begriff 2␟TH99999999,TH00000001␟TH00000002␟TH99999999,Thesaurus-Begriff 43 use␟Thesaurus-Begriff 44 use,Thesaurus-Begriff 41 used-for␟Thesaurus-Begriff 42 used-for,Unterreihe oder fortlaufende Beilage zum Gesamtwerk,BI00000001␟HS00000001,,Bibliotheksdokument 1,Haupttitel,Titel 1 Sprache␟Titel 2 Sprache,Titel 1␟Titel 2,Titel 1 Typ␟Titel 2 Typ,Verantwortlichkeit,Verantwortlichkeitsangabe der gesamten Vorlage,Zeitschriftenkurztitel,Haupttitel Zusatz,https://www.dla-marbach.de/find/opac/id/AK00000001,,Lieferungsnummer 1␟Lieferungsnummer 2,Lieferungsnummer 1 Typ␟Lieferungsnummer 2 Typ,URL 1 Typ␟URL 2 Typ,https://www.example.com␟␣,Titel über 1␟Titel über 2␟AK99999999,AK00000031␟AK00000032␟AK99999999,"Alternativtitel 1
Alternativtitel 2␟Alternativtitel␟␣",Person 1 (1982-2001). Werk 1 (genre : 2000)␟Person 2 (1982-2001). Werk 2 (genre)␟AK99999999,AK00000021␟AK00000022␟AK99999999,Person 3 (1982-2001). Werk 3 (2000-01),AK00000023
AK00000002,Vertrauliches Bibliotheksdokument 2,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Vertrauliches Bibliotheksdokument 2,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK00000002,,,,,,,,,,,,
AK00000011,Gesamttitel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Gesamttitel 1,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK00000011,,,,,,,,,,,,
AK00000012,Gesamttitel 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Gesamttitel 2,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK00000012,,,,,,,,,,,,
AK00000021,Person 1 (1982-2001). Werk 1 (genre : 2000),,Werktitel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,Person 1 (1982–2001),,,,,,,Person 1 (1982–2001)␝nicht bestimmt,Person 1 (1982–2001)␝nicht bestimmt,Person 1 (1982–2001),,,2000-01-01T00:00:00Z,2000,,genre,,,,,,,Werke,,Normdaten,genre,GND-Nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person 1 (1982–2001),PE00000001,,,,,,,,,,GND-Relation 1 Anmerkung␟GND-Relation 2 Anmerkung,PE00000001␟KS00000001,Person 1 (1982–2001)␟Körperschaft 1 (1982–2001),GND-Relation 1 Typ␟GND-Relation 2 Typ,0.11.0,,,,,,,4,PE00000001␟KS00000001␟AK00000021,AK00000021␝Person 1 (1982-2001). Werk 1 (genre : 2000),Person 1 (1982-2001). Werk 1 (genre : 2000),AK,,,,,,,,,,,,Werk 1,Werk 1,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK00000021,,GND-Nummer,GND (Werktitel),,,,,,,,,
AK00000022,Person 2 (1982-2001). Werk 2 (genre),,Werktitel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person 2 (1982–2001),,,,,,,Person 2 (1982–2001)␝nicht bestimmt,Person 2 (1982–2001)␝nicht bestimmt,Person 2 (1982–2001),,,,,,genre,,,,,,,Werke,,Normdaten,genre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person 2 (1982–2001),PE00000002,,,,,,,,,,,,,,0.11.0,,,,,,,4,PE00000002␟AK00000022,AK00000022␝Person 2 (1982-2001). Werk 2 (genre),Person 2 (1982-2001). Werk 2 (genre),AK,,,,,,,,,,,,Werk 2,Werk 2,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK00000022,,,,,,,,,,,,
AK00000023,Person 3 (1982-2001). Werk 3 (2000-01),,Werktitel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-01,,,,,,,,,,,,,,Person 3 (1982–2001),,,,,,,Person 3 (1982–2001)␝nicht bestimmt,Person 3 (1982–2001)␝nicht bestimmt,Person 3 (1982–2001),,,2000-01-01T00:00:00Z,2000-01,,,,,,,,,Werke,,Normdaten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person 3 (1982–2001),PE00000003,,,,,,,,,,,,,,0.11.0,,,,,,,2,PE00000003␟AK00000023,AK00000023␝Person 3 (1982-2001). Werk 3 (2000-01),Person 3 (1982-2001). Werk 3 (2000-01),AK,,,,,,,,,,,,Werk 3,Werk 3,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK00000023,,,,,,,,,,,,
AK00000031,Titel über 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Titel über 1,,,Alternativtitel 1␟Alternativtitel 2,,,,,,https://www.dla-marbach.de/find/opac/id/AK00000031,,,,,,,,,,,,
AK00000032,Titel über 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Titel über 2,,,Alternativtitel,,,,,,https://www.dla-marbach.de/find/opac/id/AK00000032,,,,,,,,,,,,
AK00000041,Manifestation 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AK00000001,Bibliotheksdokument 1 - Ausgabebezeichnung Vorlageform : [Veröffentlichungsart 1] / Verantwortlichkeit,Relation,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Manifestation 1,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK00000041,,,,,,,,,,,,
