id,display,accessionNumber,broadcastDate,broadcastStation,callNumberCollection_mv,callNumberItem,callNumberItemSuffix,callNumberReadingRoom,classification_display_mv,classification_id_mv,collection_display_mv,collection_id_mv,confidential,corporationAt_display_mv,corporationAt_id_mv,dateCataloged,dateModified,digitalObject_accessLevel_mv,digitalObject_display_mv,digitalObject_fileExtension_mv,digitalObject_hyperlink_mv,digitalObject_id_mv,digitalObject_licenseNote_mv,digitalObject_license_mv,digitalObject_thumbnail_mv,enveloped,location_mv,manifestation_category,manifestation_categoryPublication_mv,manifestation_categorySub,manifestation_categorySubSub,manifestation_classification_display_mv,manifestation_corporationBy_gnd_id_mv,manifestation_corporationBy_id_mv,manifestation_corporationBy_title_mv,manifestation_dateOrigin,manifestation_dateOriginComment_mv,manifestation_display,manifestation_displayAddition1,manifestation_displayAddition2,manifestation_displayName,manifestation_edition,manifestation_extent,manifestation_filterAuthorityRole_mv,manifestation_filterType_mv,manifestation_id,manifestation_isbn_mv,manifestation_language_mv,manifestation_parentVolume_mv,manifestation_parent_id_mv,manifestation_parent_title_mv,manifestation_personBy_display_mv,manifestation_personBy_gnd_id_mv,manifestation_personBy_id_mv,manifestation_personBy_title_mv,manifestation_publisherOriginalLocation_mv,manifestation_publisherOriginalText_mv,manifestation_titleResponsability,mediaNumber,note,noteOther_mv,noteProvenance_text_mv,noteProvenance_type_mv,personAt_display_mv,personAt_id_mv,provenance,schemaVersion,searchBoost,source,statusItem,statusLoan,url,usageRestriction,usageRestrictionNote,virtualRecording
AU00000001,Exemplarsignatur (Exemplarsignaturzusatz). Zugangsnummer. Bibliotheksdokument 1 - Ausgabebezeichnung Vorlageform : [Veröffentlichungsart 1],Zugangsnummer,2023,Sendeanstalt,Bestandssignatur 1␟Bestandssignatur 2,Exemplarsignatur,Exemplarsignaturzusatz,Lesesaalsignatur,Sacherschließungskette 1␟Sacherschließungskette 2␟SE99999999,SE00000001␟SE00000002␟SE99999999,"Z:Öffentlicher Bestand 1 - [Bestandstyp, Bestandsart, Unterbestandsart]␟Z:Öffentlicher Bestand 2␟BF99999999",BF00000001␟BF00000002␟BF99999999,,Körperschaft 1 (1982-2001)␟Körperschaft 2␟KS99999999,KS00000001␟KS00000002␟KS99999999,2023-06-01,2023-06-06,Zugriffsstufe␟␣,Multimedia 1␟Multimedia 2,,,MM00000001␟MM00000002,Creative Commons 10th Birthday Celebration San Francisco / Timothy Vollmer / CC BY 4.0. Quelle: http://www.flickr.com/photos/sixteenmilesofstring/8256206923/in/set-72157632200936657␟␣,,,true,Standort,Dokumententyp,Veröffentlichungsart 1␟Veröffentlichungsart 2,Erscheinungsform,Erweiterte physikalische Form,Sacherschließungskette 1␟Sacherschließungskette 2␟SE99999999,GND-Nummer 1␟GND-Nummer 2␟␟,KS00000001␟KS00000002␟KS99999999,Körperschaft 1␟Körperschaft 2␟,2023,Jahr/Datum 1␟Jahr/Datum 2,Bibliotheksdokument 1 - Ausgabebezeichnung Vorlageform : [Veröffentlichungsart 1],"Verlagsort 1 : Verlag Vorlageform 1, Jahr/Datum 1 - Umfang","Bibliographie 1, Bibliographie 2",Person 1 (1982-2001); Person 2 (1982-2001); PE99999999; Körperschaft 1 (1982-2001); Körperschaft 2; KS99999999,Ausgabebezeichnung Vorlageform,Umfang,Person 1 (1982-2001)␝Verfasser/Urheber␟Person 2 (1982-2001)␝Behandelte Person/Körperschaft␟PE99999999␝nicht bestimmt␟Körperschaft 1 (1982-2001)␝Verfasser/Urheber␟Körperschaft 2␝Behandelte Person/Körperschaft␟KS99999999␝nicht bestimmt␟Person 1 (1982-2001)␝Bestandsbildner/Vorbesitzer␟Person 2 (1982-2001)␝Bestandsbildner/Vorbesitzer␟Körperschaft 1 (1982-2001)␝Bestandsbildner/Vorbesitzer␟Körperschaft 2␝Bestandsbildner/Vorbesitzer,Sonstiges,AK00000001,ISBN 1␟ISBN 2,Sprache 1␟Sprache 2,Bandangabe 1␟Bandangabe 2,AK00000011␟AK00000012␟AK99999999,Gesamttitel 1␟Gesamttitel 2␟,Person 1 (1982-2001)␟Person 2 (1982-2001)␟PE99999999,GND-Nummer 1␟GND-Nummer 2␟␟,PE00000001␟PE00000002␟PE99999999,Person 1␟Person 2␟,Verlagsort 1␟Verlagsort 2,Verlag Vorlageform 1␟Verlag Vorlageform 2,Verantwortlichkeit,Mediennummer,Öffentliches Exemplar,Bemerkung,Sammlungsspezifischer Vermerk 1␟Sammlungsspezifischer Vermerk 2,Sammlungsspezifischer Vermerk 1 Typ␟Sammlungsspezifischer Vermerk 2 Typ,Person 1 (1982-2001)␟Person 2 (1982-2001)␟PE99999999,PE00000001␟PE00000002␟PE99999999,true,1.0.0,0.1,AU,Exemplarstatus,Ausleihstatus,https://www.dla-marbach.de/find/opac/id/AU00000001,Benutzungsbeschränkung,,Virtuelle Aufnahme
AU00000002,ohne Titel,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vertrauliches Exemplar,,,,,,,1.0.0,0.1,AU,,,https://www.dla-marbach.de/find/opac/id/AU00000002,,,
AU00000003,Verknüpfte Digitale Objekte,,,,,,,,,,,,,,,,,public␟public,Multimedia 5 pdf public license CC BY-NC-ND␟Multimedia 15 wacz public,pdf␟wacz,https://digital.dla-marbach.de/files/dbst02/public/2024/20240118/20240118-0001.pdf?media_access=public&media_license=CC-BY-NC-ND␟https://replayweb.page/?source=https://digital.dla-marbach.de/files/sites/public/Feinanteil/Feinanteil_20240715/Feinanteil_20240715.wacz?media_access=public,MM00000005␟MM00000015,,C BY-NC-ND␟␣,,,,,,,,,,,,,,Verknüpfte Digitale Objekte,,,,,,,Sonstiges,AK00000071,,,,,,,,,,,,,,Verknüpfte Digitale Objekte,,,,,,,1.0.0,0.1,AU,,,,,,
AU00000004,Das erste verknüpfte digitale Objekt auf Exemplarebene wird kopiert,,,,,,,,,,,,,,,,,public␟public,Multimedia 5 pdf public license CC BY-NC-ND␟Multimedia 15 wacz public,pdf␟wacz,https://digital.dla-marbach.de/files/dbst02/public/2024/20240118/20240118-0001.pdf?media_access=public&media_license=CC-BY-NC-ND␟https://replayweb.page/?source=https://digital.dla-marbach.de/files/sites/public/Feinanteil/Feinanteil_20240715/Feinanteil_20240715.wacz?media_access=public,MM00000005␟MM00000015,,C BY-NC-ND␟␣,,,,,,,,,,,,,,Das erste verknüpfte digitale Objekt auf Exemplarebene wird kopiert,,,,,,,Sonstiges,AK00000072,,,,,,,,,,,,,,Verknüpfte Digitale Objekte,,,,,,,1.0.0,0.1,AU,,,,,,
AU00000005,Facette Medium : [Musikalia],,,,,,,,,,,,,,,,,,,,,,,,,true,,Bibliotheksdokumente,Musikalia,"Einzelne Einheit / Stücktitel, Band",säurefreies Papier,,,,,,,Facette Medium : [Musikalia],,,,,,,Gedrucktes,AK00000062,,,,,,,,,,,,,,Buchumschlag,,,,,,,1.0.0,0.1,AU,,,,,,
AU00000011,Facette Personen und Körperschaften,,,,,,,,,,,,,Körperschaft 7,KS00000007,,,,,,,,,,,,,,,,,,GND-Nummer 1␟GND-Nummer 2,KS00000001,Körperschaft 1,,,Facette Personen und Körperschaften,,,Person 1 (1982-2001); Körperschaft 1 (1982-2001),,,Person 1 (1982-2001)␝Widmungsempfänger␟Körperschaft 1 (1982-2001)␝Widmungsempfänger␟Person 7␝Bestandsbildner/Vorbesitzer␟Körperschaft 7␝Bestandsbildner/Vorbesitzer,Sonstiges,AK00000063,,,,,,Person 1 (1982-2001),GND-Nummer 1␟GND-Nummer 2,PE00000001,Person 1,,,,,Facette Personen und Körperschaften,,,,Person 7,PE00000007,,1.0.0,0.1,AU,,,,,,
AU00000012,Facette Personen und Körperschaften Provenienzketten über Exemplare,,,,,,,,Facette Personen und Körperschaften / Provenienzketten / An,SE00000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facette Personen und Körperschaften Provenienzketten über Exemplare,,,,,,Person 1 (1982-2001)␝Widmungsempfänger␟Person 2 (1982-2001)␝Widmungsempfänger␟Körperschaft 1 (1982-2001)␝Widmungsempfänger␟Körperschaft 2␝Widmungsempfänger␟Person 3 (1982-2001)␝nicht bestimmt␟Person 4␝nicht bestimmt␟Körperschaft 3␝nicht bestimmt␟Körperschaft 4␝nicht bestimmt␟Person 5␝Bestandsbildner/Vorbesitzer␟Person 6␝Bestandsbildner/Vorbesitzer␟Körperschaft 5␝Bestandsbildner/Vorbesitzer␟Körperschaft 6␝Bestandsbildner/Vorbesitzer,Sonstiges,AK00000066,,,,,,,,,,,,,,Facette Personen und Körperschaften / Provenienzketten / An,,,,,,,1.0.0,0.1,AU,,,,,,
AU00000013,Facette Personen und Körperschaften Provenienzketten über Exemplare,,,,,,,,Facette Personen und Körperschaften / Provenienzketten / Unter / nicht bestimmt␟Facette Personen und Körperschaften / Provenienzketten / Unter / Bestandsbildner/Vorbesitzer,SE00000014␟SE00000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facette Personen und Körperschaften Provenienzketten über Exemplare,,,,,,Person 1 (1982-2001)␝Widmungsempfänger␟Person 2 (1982-2001)␝Widmungsempfänger␟Körperschaft 1 (1982-2001)␝Widmungsempfänger␟Körperschaft 2␝Widmungsempfänger␟Person 3 (1982-2001)␝nicht bestimmt␟Person 4␝nicht bestimmt␟Körperschaft 3␝nicht bestimmt␟Körperschaft 4␝nicht bestimmt␟Person 5␝Bestandsbildner/Vorbesitzer␟Person 6␝Bestandsbildner/Vorbesitzer␟Körperschaft 5␝Bestandsbildner/Vorbesitzer␟Körperschaft 6␝Bestandsbildner/Vorbesitzer,Sonstiges,AK00000066,,,,,,,,,,,,,,Facette Personen und Körperschaften / Provenienzketten / Unter,,,,,,,1.0.0,0.1,AU,,,,,,
AU00000021,Facette Zeit: Sendedatum,,1982-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facette Zeit: Sendedatum,,,,,,,Sonstiges,AK00000081,,,,,,,,,,,,,,Facette Zeit: Sendedatum,,,,,,,1.0.0,0.1,AU,,,,,,
AU00000022,Facette Zeit: Provenienzketten,,,,,,,,Facette Zeit: Provenienzketten,SE00000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facette Zeit: Provenienzketten,,,,,,,Sonstiges,AK00000082,,,,,,,,,,,,,,Facette Zeit: Provenienzketten,,,,,,,1.0.0,0.1,AU,,,,,,
