id,display,accessionNumber,accession_display,accession_id,category,categoryMedium_mv,categorySub,categorySubSub,collection_display_mv,collection_id_mv,confidential,corporationAbout_comment_mv,corporationAbout_display_mv,corporationAbout_id_mv,corporationAbout_role_mv,corporationAt_display_mv,corporationAt_id_mv,corporationBy_comment_mv,corporationBy_display_mv,corporationBy_id_mv,corporationTo_display_mv,corporationTo_id_mv,dateCataloged,dateModified,dateNote_mv,dateOrigin,dateOriginComment_mv,dateOtherComment_mv,dateOther_mv,digitalObject_accessLevel_mv,digitalObject_display_mv,digitalObject_fileExtension_mv,digitalObject_hyperlink_mv,digitalObject_id_mv,digitalObject_licenseNote_mv,digitalObject_license_mv,digitalObject_thumbnail_mv,dimension_comment_mv,dimension_depth_mv,dimension_diameter_mv,dimension_height_mv,dimension_width_mv,displayAddition1,displayAddition2,displayName,extent,filterAuthorityRelation_mv,filterAuthorityRole_mv,filterAuthority_mv,filterCollection_mv,filterDatePoint_mv,filterDateRange_mv,filterDigital,filterFormContent_mv,filterLocationType_mv,filterLocation_mv,filterMedium_mv,filterMultipart,filterRecent,filterSource,filterSubject_mv,filterType_mv,inscription,inventoryNumber,item_display_mv,item_id_mv,item_manifestation_display_mv,item_manifestation_id_mv,library_display_mv,library_id_mv,locationComment,location_mv,manuscript_display_mv,manuscript_id_mv,material,mediaNumber,note,noteBibliography_mv,noteClassification,noteDimension,noteObjectType,parent_display_mv,parent_id_mv,personAbout_comment_mv,personAbout_display_mv,personAbout_id_mv,personAbout_role_mv,personAt_display_mv,personAt_id_mv,personBy_comment_mv,personBy_display_mv,personBy_id_mv,personBy_role_mv,personTo_display_mv,personTo_id_mv,photoNegativeNumber_mv,reference_text_mv,schemaVersion,searchCollectionCreator_display_mv,searchCollectionCreator_id_mv,searchEntity_id_mv,source,statusLoan,statusPreservation,subjectLocation_comment_mv,subjectLocation_display_mv,subjectLocation_id_mv,subjectLocation_type_mv,subject_display_mv,subject_id_mv,subject_type_mv,subject_useTerm_mv,subject_usedFor_mv,title,titleOriginal,url,usageRestriction,usageRestrictionNote,work_display_mv,work_id_mv
BI00000001,Bild 1 [Objektart Unterkategorie],Erwerbungsnummer,BE00000001,BE00000001,Satzart,Objektart 1␟Objektart 2,Objektart Hauptkategorie,Objektart Unterkategorie,"Z:Öffentlicher Bestand 1 - [Bestandstyp, Bestandsart, Unterbestandsart]",BF00000001,false,Link Körperschaft 3 Anmerkung␟Link Körperschaft 4 Anmerkung␟␣,Körperschaft 3␟Körperschaft 4␟KS99999999,KS00000003␟KS00000004␟KS99999999,Link Körperschaft 3 Typ␟Link Körperschaft 4 Typ␟␣,Körperschaft 5␟Körperschaft 6␟KS99999999,KS00000005␟KS00000006␟KS99999999,Link Körperschaft 1 Anmerkung␟Link Körperschaft 2 Anmerkung␟␣,Körperschaft 1 (1982-2001)␟Körperschaft 2␟KS99999999,KS00000001␟KS00000002␟KS99999999,Körperschaft 7␟Körperschaft 8␟KS99999999,KS00000007␟KS00000008␟KS99999999,2023-06-01,2023-06-06,Entstehung Anmerkung 1␟Entstehung Anmerkung 2,Zeitraum 1,Zeitraum 1 Anmerkung,Zeitraum 2 Anmerkung,Zeitraum 2,Zugriffsstufe␟␣,Multimedia 1␟Multimedia 2,,,MM00000001␟MM00000002,Creative Commons 10th Birthday Celebration San Francisco / Timothy Vollmer / CC BY 4.0. Quelle: http://www.flickr.com/photos/sixteenmilesofstring/8256206923/in/set-72157632200936657␟␣,,,Maßangabe 1 Anmerkung␟Maßangabe 2 Anmerkung,Maßangabe 1 Tiefe (cm)␟Maßangabe 2 Tiefe (cm),Maßangabe 1 Durchmesser (cm)␟Maßangabe 2 Durchmesser (cm),Maßangabe 1 Höhe (cm)␟Maßangabe 2 Höhe (cm),Maßangabe 1 Breite (cm)␟Maßangabe 2 Breite (cm),Zeitraum 1 Anmerkung,Inventarnummer: Inventarnummer,Person 1 (1982-2001); Person 2 (1982-2001); PE99999999; Körperschaft 1 (1982-2001); Körperschaft 2; KS99999999,Umfang,Person 1 (1982-2001)␝Von␟Person 2 (1982-2001)␝Von␟PE99999999␝Von␟Körperschaft 1 (1982-2001)␝Von␟Körperschaft 2␝Von␟KS99999999␝Von␟Person 3 (1982-2001)␝An␟Person 4␝An␟PE99999999␝An␟Körperschaft 7␝An␟Körperschaft 8␝An␟KS99999999␝An␟Person 5␝Über␟Person 6␝Über␟PE99999999␝Über␟Körperschaft 3␝Über␟Körperschaft 4␝Über␟KS99999999␝Über␟Person 7␝Unter␟Person 8␝Unter␟PE99999999␝Unter␟Körperschaft 5␝Unter␟Körperschaft 6␝Unter␟KS99999999␝Unter,Person 1 (1982-2001)␝Link Person 1 Typ␟Person 2 (1982-2001)␝Link Person 2 Typ␟PE99999999␝nicht bestimmt␟Körperschaft 1 (1982-2001)␝Verfasser/Urheber␟Körperschaft 2␝Verfasser/Urheber␟KS99999999␝Verfasser/Urheber␟Person 3 (1982-2001)␝Widmungsempfänger␟Person 4␝Widmungsempfänger␟PE99999999␝Widmungsempfänger␟Körperschaft 7␝Widmungsempfänger␟Körperschaft 8␝Widmungsempfänger␟KS99999999␝Widmungsempfänger␟Person 5␝Link Person 5 Typ␟Person 6␝Link Person 6 Typ␟Körperschaft 3␝Link Körperschaft 3 Typ␟Körperschaft 4␝Link Körperschaft 4 Typ␟KS99999999␝nicht bestimmt␟Person 7␝Bestandsbildner/Vorbesitzer␟Person 8␝Bestandsbildner/Vorbesitzer␟PE99999999␝Bestandsbildner/Vorbesitzer␟Körperschaft 5␝Bestandsbildner/Vorbesitzer␟Körperschaft 6␝Bestandsbildner/Vorbesitzer␟KS99999999␝Bestandsbildner/Vorbesitzer,Person 1 (1982-2001)␟Person 2 (1982-2001)␟PE99999999␟Körperschaft 1 (1982-2001)␟Körperschaft 2␟KS99999999␟Person 3 (1982-2001)␟Person 4␟Körperschaft 7␟Körperschaft 8␟Person 5␟Person 6␟Körperschaft 3␟Körperschaft 4␟Person 7␟Person 8␟Körperschaft 5␟Körperschaft 6,Z:Öffentlicher Bestand 1,,,,Objektart Hauptkategorie␟Objektart Unterkategorie␟Objektart 1␟Objektart 2␟Objektart Zusammensetzung,Ort-Schlagwort 1␝Darstellungsort␟Ort-Schlagwort 2␝Darstellungsort,Ort-Schlagwort 1␟Ort-Schlagwort 2,,,2023-06-01,Bilder und Objekte,Schlagwort 1␟Schlagwort 2␟Ort-Schlagwort 1␟Ort-Schlagwort 2␟Person 5␟Person 6␟Körperschaft 3␟Körperschaft 4␟Werk 1␟Werk 2,Bilder und Objekte,Beschriftung,Inventarnummer,Exemplarsignatur (Exemplarsignaturzusatz). Zugangsnummer. Bibliotheksdokument 1 - Ausgabebezeichnung Vorlageform : [Veröffentlichungsart 1],AU00000001,Bibliotheksdokument 1 - Ausgabebezeichnung Vorlageform : [Veröffentlichungsart 1],AK00000001,Gesamttitel 1␟Gesamttitel 2␟AK99999999,AK00000011␟AK00000012␟AK99999999,Standort Anmerkung,Standort normiert,Handschrift 1␟Handschrift 2 Noten␟HS99999999,HS00000001␟HS00000002␟HS99999999,Material,Mediennummer,Entstehung,Quellenangabe Anmerkung,Sacherschließung,Maßangabe Anmerkung,Objektart Zusammensetzung,Wertetabelle Workaround: Plakat bleibt Plakat [Plakat],BI00000002,Link Person 5 Anmerkung␟Link Person 6 Anmerkung␟␣,Person 5␟Person 6␟PE99999999,PE00000005␟PE00000006␟PE99999999,Link Person 5 Typ␟Link Person 6 Typ␟␣,Person 7␟Person 8␟PE99999999,PE00000007␟PE00000008␟PE99999999,Link Person 1 Typ␟Link Person 2 Typ␟␣,Person 1 (1982-2001)␟Person 2 (1982-2001)␟PE99999999,PE00000001␟PE00000002␟PE99999999,Link Person 1 Typ␟Link Person 2 Typ␟␣,Person 3 (1982-2001)␟Person 4␟PE99999999,PE00000003␟PE00000004␟PE99999999,Foto-Negativ 1␟Foto-Negativ 2,Quellenangabe,0.14.0,Person 3 (1982-2001)␟Person 4␟␣␟Körperschaft 5␟Körperschaft 6␟␣,PE00000003␟PE00000004␟PE99999999␟KS00000005␟KS00000006␟KS99999999,KS00000003␟KS00000004␟KS99999999␟KS00000005␟KS00000006␟KS00000001␟KS00000002␟KS00000007␟KS00000008␟PE00000005␟PE00000006␟PE99999999␟PE00000007␟PE00000008␟PE00000001␟PE00000002␟PE00000003␟PE00000004␟AK00000021␟AK00000022␟AK99999999,BI,Ausleihstatus,Erhaltungszustand,Link Ort-Schlagwort 1 Anmerkung␟Link Ort-Schlagwort 2 Anmerkung␟␣,Ort-Schlagwort 1␟Ort-Schlagwort 2␟TH99999999,TH00000031␟TH00000032␟TH99999999,Link Ort-Schlagwort 1 Typ␟Link Ort-Schlagwort 2 Typ␟␣,Schlagwort 1␟Schlagwort 2␟TH99999999,TH00000021␟TH00000022␟TH99999999,Link Schlagwort 1 Typ␟Link Schlagwort 2 Typ␟␣,,,Bild 1,Titel Original,https://www.dla-marbach.de/find/opac/id/BI00000001,Benutzungsbeschränkung,,Person 1 (1982-2001). Werk 1 (genre : 2000)␟Person 2 (1982-2001). Werk 2 (genre)␟AK99999999,AK00000021␟AK00000022␟AK99999999
BI00000002,Wertetabelle Workaround: Plakat bleibt Plakat [Plakat],,,,,,Plakat,,"Z:Öffentlicher Bestand 1 - [Bestandstyp, Bestandsart, Unterbestandsart]",BF00000001,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Z:Öffentlicher Bestand 1,,,,Plakat,,,Sonstiger Datenträger,,,Bilder und Objekte,,Bilder und Objekte,,,,,,,,,,,,,,,,,,,Datenträger,,,,,,,,,,,,,,,,,0.14.0,Person 3 (1982-2001)␟Person 4␟␣␟Körperschaft 5␟Körperschaft 6␟␣,PE00000003␟PE00000004␟PE99999999␟KS00000005␟KS00000006␟KS99999999,,BI,,,,,,,,,,,,Wertetabelle Workaround: Plakat bleibt Plakat,,https://www.dla-marbach.de/find/opac/id/BI00000002,,,,
BI00000003,Vertraulicher Datensatz,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bilder und Objekte,,Bilder und Objekte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14.0,,,,BI,,,,,,,,,,,,Vertraulicher Datensatz,,https://www.dla-marbach.de/find/opac/id/BI00000003,,,,
BI00000004,Facette Personen und Körperschaften,,,,,,,,,,,,Körperschaft 1 (1982-2001)␟Körperschaft 6,KS00000001␟KS00000006,Veranstaltung␟␣,Körperschaft 2,KS00000002,␣,Körperschaft 3,KS00000003,Körperschaft 4,KS00000004,,,,,,,,,,,,,,,,,,,,,,,Person 3 (1982-2001); Person 5; Person 6; Körperschaft 3,,Person 3 (1982-2001)␝Von␟Person 5␝Von␟Person 6␝Von␟Körperschaft 3␝Von␟Person 4␝An␟Körperschaft 4␝An␟Person 1 (1982-2001)␝Über␟Person 6␝Über␟Körperschaft 1 (1982-2001)␝Über␟Körperschaft 6␝Über␟Person 2 (1982-2001)␝Unter␟Körperschaft 2␝Unter,Person 3 (1982-2001)␝Widmungsschreiber␟Person 5␝Verfasser/Urheber␟Person 6␝nicht bestimmt␟Körperschaft 3␝Verfasser/Urheber␟Person 4␝Widmungsempfänger␟Körperschaft 4␝Widmungsempfänger␟Person 1 (1982-2001)␝Dargestellte Person allein␟Körperschaft 1 (1982-2001)␝Veranstaltung␟Körperschaft 6␝nicht bestimmt␟Person 2 (1982-2001)␝Bestandsbildner/Vorbesitzer␟Körperschaft 2␝Bestandsbildner/Vorbesitzer,Person 3 (1982-2001)␟Person 5␟Person 6␟Körperschaft 3␟Person 4␟Körperschaft 4␟Person 1 (1982-2001)␟Körperschaft 1 (1982-2001)␟Körperschaft 6␟Person 2 (1982-2001)␟Körperschaft 2,,,,,,,,,,,Bilder und Objekte,Person 1 (1982-2001)␟Person 6␟Körperschaft 1␟Körperschaft 6,Bilder und Objekte,,,,,,,,,,,,,,,,,,,,,,,Person 1 (1982-2001)␟Person 6,PE00000001␟PE00000006,Dargestellte Person allein␟␣,Person 2 (1982-2001),PE00000002,Widmung␟Fotografie␟␣,Person 3 (1982-2001)␟Person 5␟Person 6,PE00000003␟PE00000005␟PE00000006,Sonstige/r Urheber/in␟Sonstige/r Urheber/in␟␣,Person 4,PE00000004,,,0.14.0,,,KS00000001␟KS00000006␟KS00000002␟KS00000003␟KS00000004␟PE00000001␟PE00000006␟PE00000002␟PE00000003␟PE00000005␟PE00000004,BI,,,,,,,,,,,,Facette Personen und Körperschaften,,,,,,
BI00000011,Verknüpfte Digitale Objekte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,public␟public,Multimedia 10 ohne ext mit thumbnail tif public␟Multimedia 11 ohne ext public,,https://digital.dla-marbach.de/viewer/image/BF00043389/0015/?media_thumbnail=BF00043389_0015.tif&media_access=public␟https://digital.dla-marbach.de/viewer/image/BF00043389/?media_access=public,MM00000010␟MM00000011,Lizenz bzw. Rechteangabe im Freitext␟Lizenz bzw. Rechteangabe im Freitext,,"https://digital.dla-marbach.de/viewer/api/v1/records/BF00043389/files/images/BF00043389_0015.tif/full/!480,480/0/default.jpg␟https://digital.dla-marbach.de/viewer/api/v1/records/BF00043389/files/images/BF00043389_0001.tif/full/!480,480/0/default.jpg",,,,,,,,,,,,,,,,true,,,,,,,Bilder und Objekte,,Bilder und Objekte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14.0,,,,BI,,,,,,,,,,,,Verknüpfte Digitale Objekte,,,,,,
BI00000021,Konvolut,,,,Konvolut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,Bilder und Objekte,,Bilder und Objekte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14.0,,,,BI,,,,,,,,,,,,Konvolut,,,,,,
BI00033390,Hall. Michaelskirche [Druckgraphik],,BE00000154,BE00000154,Einzelobjekt,,Druckgraphik,,,,false,,,,,,,,,,,,2025-02-13,2025-02-13,,1848-1852,um 1840,,,,,,,,,,,(Blatt)␟(Darstellung),,,15.0␟ 12.1,23.3␟ 14.4,um 1840,Inventarnummer: B 1991.K 0185,PE00276308,,PE00276308␝Von␟PE00074121␝Unter,PE00276308␝Verfasser/Urheber␟PE00074121␝Bestandsbildner/Vorbesitzer,PE00276308␟PE00074121,,1848-01-01T00:00:00Z␟1852-01-01T00:00:00Z,[1848 TO 1852],,Druckgrafik,,,,,2025-02-13,Bilder und Objekte,,Bilder und Objekte,"Bez. (u.): ""Gez. v. Groos"" (li.), ""Stahlst. v. F. Foltz"" (re.) sowie ""DIE MICHAELSKIRCHE IN HALL | Verlag der Stettin´schen Buchhandlung in Ulm"" (mi.)",B 1991.K 0185,,,,,,,,Graphik Ansichten,,,Stahlstich,BI000333901,,,,,,BI00028179,BI00028179,,,,,PE00074121,PE00074121,,PE00276308,PE00276308,Urheber/in,,,,,0.14.0,,,PE00074121␟PE00276308,BI,Am Standort,"Blatt stockfleckig, fleckig u. angeschmutzt.",,TH00154395␟TH00227392,TH00154395␟TH00227392,Dargestellter Ort␟Dargestellter Ort,,,,,,Hall. Michaelskirche,,https://www.dla-marbach.de/find/opac/id/BI00033390,eingeschränkt benutzbar,"bedingt benutzbar
Die Benutzung ist nach vorheriger Terminabsprache bedingt möglich. Bitte wenden Sie sich nach der Bestellung an das Referat Bilder und Objekte.
E-Mail: bilder-und-objekte@dla-marbach.de",,
BI99000001,Tektonik Objekt Alpha,,,,,,,,Z:Tektonik Testbestand Alpha - [Kryptobestand],BF99000001,false,,,,,Koerperschaft Systematik Alpha,KS99000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person Systematik Alpha␝Unter␟Koerperschaft Systematik Alpha␝Unter,Person Systematik Alpha␝Bestandsbildner/Vorbesitzer␟Koerperschaft Systematik Alpha␝Bestandsbildner/Vorbesitzer,Person Systematik Alpha␟Koerperschaft Systematik Alpha,Z:Tektonik Testbestand Alpha,,,,,,,,,,Bilder und Objekte,,Bilder und Objekte,,,,,,,,,,,,,,,,,,,,,,,,,,Person Systematik Alpha,PE99000001,,,,,,,,,0.14.0,Person Systematik Alpha␟Koerperschaft Systematik Alpha,PE99000001␟KS99000001,KS99000001␟PE99000001,BI,,,,,,,,,,,,Tektonik Objekt Alpha,,https://www.dla-marbach.de/find/opac/id/BI99000001,,,,
BI99000002,Tektonik Objekt Beta,,,,,,,,Z:Tektonik Unterbestand Alpha - [Kryptobestand],BF99000002,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person Systematik Beta␝Unter,Person Systematik Beta␝Bestandsbildner/Vorbesitzer,Person Systematik Beta,Z:Tektonik Unterbestand Alpha,,,,,,,,,,Bilder und Objekte,,Bilder und Objekte,,,,,,,,,,,,,,,,,,,,,,,,,,Person Systematik Beta,PE99000002,,,,,,,,,0.14.0,Person Systematik Alpha,PE99000001,PE99000002,BI,,,,,,,,,,,,Tektonik Objekt Beta,,https://www.dla-marbach.de/find/opac/id/BI99000002,,,,
BI99000003,Tektonik Objekt Vertraulich (soll rausfallen),,,,,,,,Z:Tektonik Testbestand Alpha - [Kryptobestand],BF99000001,true,,,,,Koerperschaft Systematik Alpha,KS99000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person Systematik Alpha␝Unter␟Koerperschaft Systematik Alpha␝Unter,Person Systematik Alpha␝Bestandsbildner/Vorbesitzer␟Koerperschaft Systematik Alpha␝Bestandsbildner/Vorbesitzer,Person Systematik Alpha␟Koerperschaft Systematik Alpha,Z:Tektonik Testbestand Alpha,,,,,,,,,,Bilder und Objekte,,Bilder und Objekte,,,,,,,,,,,,,,,,,,,,,,,,,,Person Systematik Alpha,PE99000001,,,,,,,,,0.14.0,Person Systematik Alpha␟Koerperschaft Systematik Alpha,PE99000001␟KS99000001,KS99000001␟PE99000001,BI,,,,,,,,,,,,Tektonik Objekt Vertraulich (soll rausfallen),,https://www.dla-marbach.de/find/opac/id/BI99000003,,,,
