id,display,category,categoryMedium_mv,categoryPublication_mv,country_mv,dateCataloged,dateModified,dateOrigin,dateOriginComment_mv,displayAddition1,displayAddition2,displayName,filterDigital,filterMedium_mv,filterSource,filterType_mv,note,noteContent_mv,publisherOriginalText_mv,schemaVersion,source,subjectOther_mv,textualHolding_mv,title,titleOther_text_mv,url,website_description_mv,website_url_mv
DBIS100015,Fiska,Digitale Nachschlagewerke,Online-Ressource,Fachbibliographie,Finnland␟Schweden,2020-08-18,2025-01-13,,,Fachbibliographie,,,True,Datenbank,Digitale Nachschlagewerke,Daten,,"Fiska ist eine von der Schwedischen Literaturgesellschaft in Finnland herausgegebene bibliografische Datenbank über die sprachwissenschaftliche Forschung zum Thema Schwedisch als Muttersprache in Finnland. Sie weist Monografien und Artikel zur schwedischen Sprache in Finnland nach, z. B. zu finnlandschwedischen Dialekten, Slang, Umgangssprache und Zweisprachigkeit.",,0.16.0,AK,Finnlandschwedisch␟Muttersprache,,Fiska,Bibliografin över forskning i svenska i Finland,https://www.dla-marbach.de/find/opac/id/DBIS100015,Zugang,https://sls.finna.fi/Content/fiska_databasen
DBIS100025,Catalogo Manuscritti / Biblioteca Apostolica Vaticana,Digitale Nachschlagewerke,Online-Ressource,Volltextdatenbank,Vatikanstadt,2020-08-18,2025-08-11,,,Volltextdatenbank,,,True,Datenbank,Digitale Nachschlagewerke,Daten,,"Der Handschriftenkatalog der Bibliotheca Apostolica Vaticana (Vatikanische Apostolische Bibliothek) kann nach diversen Kriterien durchsucht werden, z. B. Autor, Titel, Signatur, Incipit. Außerdem stehen zahlreiche Handschriften in digitalisierter Form zur Verfügung.",,0.16.0,AK,Manuskript␟Biblioteca Apostolica Vaticana,,Catalogo Manuscritti / Biblioteca Apostolica Vaticana,Biblioteca Vaticana Manoscritti Digitalizzati␟Digitalisierte Manuskripte Vatikanische Bibliothek,https://www.dla-marbach.de/find/opac/id/DBIS100025,Zugang,https://opac.vatlib.it/mss/?ling=it
DBIS100052,Østgrønlandske Stednavne,Digitale Nachschlagewerke,Online-Ressource,"Bestandsverzeichnis, Faktendatenbank",Daenemark,2020-08-18,2025-01-13,,,"Bestandsverzeichnis, Faktendatenbank",,,True,Datenbank,Digitale Nachschlagewerke,Daten,Die Datenbank kann nicht im Internet genutzt werden; die zugrunde liegenden Dateien müssen auf den eigenen Rechner geladen werden. Klicken Sie dazu auf  Østgrønlandske Stednavne.,"Die Datenbank des Arktischen Instituts enthält Ortsnamen für Ostgrönland, wie sie die ersten europäischen Reisenden und Expeditionen vergeben haben. Sie ist in PDF-Portfolien organisiert und enthält Listen mit den Ortsnamen, wie die einzelnen Expeditionen oder deren Teilnehmer sie verwendet haben sowie dazugehörende Einführungen.",,0.16.0,AK,Dänemark␟Grönland␟Ortsname,,Østgrønlandske Stednavne,,https://www.dla-marbach.de/find/opac/id/DBIS100052,Zugang,http://arktiskinstitut.dk/vidensdatabaserne/oestgroenlandske-stednavne/
DBIS100055,Bücher zu Bayern,Digitale Nachschlagewerke,Online-Ressource,Volltextdatenbank,Bayern,2020-08-18,2025-05-21,,,Volltextdatenbank,,Bayerische Staatsbibliothek,True,Datenbank,Digitale Nachschlagewerke,Daten,,"Das Angebot ermöglicht es, die als Volltexte vorhandenen bayernrelevanten Bestände der Bayerischen Staatsbibliothek, der Staatlichen Bibliothek Passau, der Staatlichen Bibliothek Regensburg und der Staats- und Stadtbibliothek Augsburg zu durchsuchen. Es handelt sich um rund 78.000 Bände mit maschinell erfassten Volltexten aus bayernrelevanten Beständen der Frühen Neuzeit und des 19. Jahrhunderts.<br />
Die Titel der Bayerischen Staatsbibliothek entstammen in erster Linie dem Signaturenfach Bavarica, darüber hinaus auch aus den Fächern Politische Zeitungen und Staatstheater sowie aus der Bibliothek der Bayerischen Berg-, Hütten- und Salzwerke AG (BHS).",Bayerische Staatsbibliothek,0.16.0,AK,Bayerische Staatsbibliothek␟Bayern␟Schrifttum,,Bücher zu Bayern,Bavarica␟Bavarica-Volltexte,https://www.dla-marbach.de/find/opac/id/DBIS100055,Zugang,http://bavarica.digitale-sammlungen.de/
DBIS100079,Encyclopédie du Film d'Histoire,Digitale Nachschlagewerke,Online-Ressource,"Wörterbuch, Enzyklopädie, Nachschlagwerk",,2020-08-18,2025-01-13,,,"Wörterbuch, Enzyklopädie, Nachschlagwerk",,,True,Datenbank,Digitale Nachschlagewerke,Daten,,"Diese Datenbank zeigt die faszinierenden Wechselwirkungen von Filmgeschichte und Kino. 15.000 Filme und TV-Filme aus 40 Jahren sind hier zusammengeführt und kommentiert (Stand 14.04.2014). Forscher, Historiker, Journalisten, Cineasten, Filmfans und alle diejenigen, die das Thema neugierig macht, können hier kostenlos nachschlagen und recherchieren, aber auch auf Entdeckungsreise nach unbekannten oder bereits vergessenen Werken der audio-visuellen Welt gehen.",,0.16.0,AK,Film␟Kino␟Fernsehen␟Filmgeschichte␟Galloromanistik␟Kulturwissenschaften␟Medienwissenschaft,,Encyclopédie du Film d'Histoire,Cinéma &amp; Histoire / Histoire &amp; Cinéma␟Encyclopédie du Film Historique,https://www.dla-marbach.de/find/opac/id/DBIS100079,Zugang,http://www.hervedumont.ch/page.php?id=fr2#
DBIS100088,Arabic and Latin Glossary,Digitale Nachschlagewerke,Online-Ressource,"Wörterbuch, Enzyklopädie, Nachschlagwerk",,2020-08-18,2025-08-07,,,"Wörterbuch, Enzyklopädie, Nachschlagwerk",2005-01-01,,True,Datenbank,Digitale Nachschlagewerke,Daten,"Zur Darstellung aller Diakritika, arabischer Zeichen usw. ist ein geeigneter UTF-8-Font erforderlich.","Das Arabisch-Lateinische Glossar ist ein Wörterbuch des Wortschatzes der arabisch-lateinischen Übersetzungen des Mittelalters. Es vereint die Einträge aller existierenden arabisch-lateinischen Glossare in modernen Ausgaben mittelalterlicher Werke. Das Glossar hat ein doppeltes Ziel: unser Verständnis des arabischen Einflusses in Europa zu verbessern, insbesondere in Bezug auf das wissenschaftliche Vokabular, und ein lexikalisches Werkzeug zum Verständnis arabischer wissenschaftlicher Texte bereitzustellen. Es basiert derzeit auf 37 Quellen, die Medizin, Philosophie, Theologie, Astrologie, Astronomie, Mathematik, Optik, Botanik und Zoologie abdecken.",,0.16.0,AK,Latein␟Arabisch␟Arabische Philosophie␟Philosophie des Mittelalters␟Wissenschaftsgeschichte␟Philosopie in der Welt des Islam␟Pharmazie,2005-01-01,Arabic and Latin Glossary,Arabisch-lateinisches Glossar,https://www.dla-marbach.de/find/opac/id/DBIS100088,Zugang,https://algloss.de.dariah.eu/?page=home&nav=srch
DBIS10009,openthesaurus,Digitale Nachschlagewerke,Online-Ressource,"Wörterbuch, Enzyklopädie, Nachschlagwerk",Deutschland␟Oesterreich␟Schweiz,2020-08-18,2025-08-13,,,"Wörterbuch, Enzyklopädie, Nachschlagwerk",,Naber; Gesellschaft für deutsche Sprache,True,Datenbank,Digitale Nachschlagewerke,Daten,,"OpenThesaurus ist ein freies deutschsprachiges Synonymwörterbuch, bei dem jeder mitmachen kann.",Naber; Gesellschaft für deutsche Sprache,0.16.0,AK,Deutsch␟Synonym␟Wörterbuch,,openthesaurus,openthesaurus.de␟ot,https://www.dla-marbach.de/find/opac/id/DBIS10009,Zugang,http://www.openthesaurus.de/
DBIS100100,Environment and Society Portal,Digitale Nachschlagewerke,Online-Ressource,Portal,,2020-08-18,2026-04-10,,,Portal,,"Rachel Carson Center for Environment and Society, LMU Munich",True,Datenbank,Digitale Nachschlagewerke,Daten,,"Das Environment and Society Portal ist eine nichtkommerzielle Forschungs- und Kommunikationsplattform, die multimediale Inhalte und digitalisierte Materialien aus den umweltbezogenen Geisteswissenschaften (Environmental Humanities) frei zugänglich zur Verfügung stellt. Die Erschließung erfolgt dreifach - geografisch (Map Viewer), chronologisch (Timeline) und sachlich (Keyword Explorer). Die Ludwig-Maximilians-Universität München und das Deutsche Museum sind neben dem Bundesministerium für Bildung und Forschung (BMBF) weitere beteiligte Herausgeber.<br />
Das Portal enhält:
<ul>
      <li>die <a href=""https://www.environmentandsociety.org/mml"">Multimedia Library</a>>
 </li><li><a href=""https://www.environmentandsociety.org/exhibitions"">Virtual Exhibitions</a></li>
<li>die Zeitschrift <a href=""https://www.environmentandsociety.org/perspectives"">RCC Perspectives</a></li>
       <li>die Serie <a href=""https://www.environmentandsociety.org/arcadia"">Arcadia: Online Explorations in Environmental History</a></li>
</ul>","Rachel Carson Center for Environment and Society, LMU Munich",0.16.0,AK,Umweltschutz␟Geisteswissenschaften␟Geschichte,,Environment and Society Portal,Virtual Exhibitions␟Multimedia Library,https://www.dla-marbach.de/find/opac/id/DBIS100100,Zugang,https://www.environmentandsociety.org
DBIS100102,Audioatlas Siebenbürgisch-Sächsischer Dialekte (ASD),Digitale Nachschlagewerke,Online-Ressource,"Wörterbuch, Enzyklopädie, Nachschlagwerk",Rumänien␟Ungarn,2020-08-18,2025-01-13,,,"Wörterbuch, Enzyklopädie, Nachschlagwerk",,Ludwig-Maximilians-Universität München,True,Datenbank,Digitale Nachschlagewerke,Daten,,"Dieses Portal macht eine sehr umfangreiche Tondokumentation siebenbürgisch-sächsischer Dialekte zugänglich; dabei handelt es sich insgesamt um über 360 Stunden gesprochener Sprache aus ca. 250 verschiedenen Ortschaften, gespeichert in insgesamt 2274 Audiodateien. Dieses einzigartige, bislang unveröffentlichte Material wurde im Wesentlichen in den späten 60er und frühen 70er Jahren des letzten Jahrhunderts von Sprachforschern verschiedener rumänischer Universitäten (Bukarest, Hermannstadt, Klausenburg) erhoben und auf Tonbändern aufgenommen; daraus wurden die digitalen Versionen (in den Formaten ‘wav’ und ‘mp3’) mit durchweg guter akustischer Qualität erstellt, die hier nun in akustischer Form abgerufen werden können. Die Dokumentation umfasst unterschiedliche Erhebungsstrategien und Diskursformen: Einerseits wurden in den meisten Orten die berühmten, geradezu ‘klassischen’ Wenker-Sätze der germanistischen Dialektologie abgefragt; andererseits sind auch Märchen, Lieder und – vor allem – zahlreiche, mehr oder weniger freie Erzählungen vertreten. Deshalb werden neben sprachwissenschaftlichen auch ethnographische und zeitgeschichtliche Interessen bedient. Mit dem sehr unterschiedlichen Alter der Informanten kommt eine weitere Dimension der Variation ins Spiel, die ebenfalls bereits gezielt angesteuert werden kann.",Ludwig-Maximilians-Universität München,0.16.0,AK,Rumänien␟Ungarn␟Dialekt␟Nachschlagewerk␟Lexikon␟Korpus <Linguistik>␟Balkanromanistik␟Sprachwissenschaft,,Audioatlas Siebenbürgisch-Sächsischer Dialekte (ASD),ASD-Corpus␟ASD,https://www.dla-marbach.de/find/opac/id/DBIS100102,Zugang,http://dx.doi.org/10.5282/asd
DBIS100139,"Obelex Dict : Online-Bibliografie zur Elektronischen Lexikografie, Wörterbücher",Digitale Nachschlagewerke,Online-Ressource,"Wörterbuch, Enzyklopädie, Nachschlagwerk",,2020-08-18,2025-01-13,,,"Wörterbuch, Enzyklopädie, Nachschlagwerk",,,True,Datenbank,Digitale Nachschlagewerke,Daten,,"Die Datenbank enthält z.Zt. 17.000 Einträge zu ein-, zwei- und mehrsprachigen Onlinewörterbüchern aus aller Welt. Aufgenommen wurden alle wortbezogenen Nachschlagewerke, ohne Prüfung der inhaltlichen Qualität, bei großen Wörterbuchportalen jedes Sprachenpaar gesondert. Ziel ist es, ein Forschungsinstrument zur Verfügung zu stellen, mit dem möglichst viele lexikografische Online-Ressourcen aus aller Welt nach inhaltlichen Kriterien geordnet gefunden werden können.",,0.16.0,AK,Wörterbuch␟Online-Publikation␟Verzeichnis,,"Obelex Dict : Online-Bibliografie zur Elektronischen Lexikografie, Wörterbücher",ObelexDict␟OWID␟Online-Wortschatz-Informationssystem Deutsch,https://www.dla-marbach.de/find/opac/id/DBIS100139,Zugang,http://www.owid.de/obelex/dict
