id,display,displayAddition1,displayAddition2,filterDatePoint_mv,filterDateRange_mv,filterDigital,filterLanguage_mv,filterMedium_mv,filterSource,filterType_mv,identifier_id_mv,identifier_type_mv,issn_mv,publicationHistory,publisherOriginalLocation_mv,publisherOriginalText_mv,relation_id_mv,relation_text_mv,relation_type_mv,schemaVersion,source,textualHolding_mv,title,usageRestriction,website_description_mv,website_url_mv
EZB100039,Word of Mouth,"Sage Publications ; HighWire Press ; Hammill Institute on Disabilities ; Pro-ed, 1 (1989) -",Volltext (Elektronische Zeitschriftenbibliothek),1989-01-01T00:00:00Z,1989,True,Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2409789-5,572z,2154-3941,1 (1989) -,"Los Angeles, Calif. [u.a.]",Sage Publications ; HighWire Press ; Hammill Institute on Disabilities ; Pro-ed,,,,0.16.0,AK,1 (1989) -,Word of Mouth,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2409789&bibid=DLA␟https://journals.sagepub.com/home/wom
EZB10045,Semiotica (1969-2023),"Mouton de Gruyter, 1 (1969) - 2023",Volltext (Elektronische Zeitschriftenbibliothek),1969-01-01T00:00:00Z␟2023-01-01T00:00:00Z,[1969 TO 2023],True,Deutsch␟Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2044265-8,572z,1613-3692,1 (1969) - 2023,Berlin [u.a.],Mouton de Gruyter,,,,0.16.0,AK,1 (1969) - 2023,Semiotica (1969-2023),benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2044265&bibid=DLA␟https://www.degruyterbrill.com/journal/key/SEMI/html
EZB10050,Forum for Modern Language Studies,"Oxford University Press (OUP), 1 (1965) - 53 (2017)",Volltext (Elektronische Zeitschriftenbibliothek),1965-01-01T00:00:00Z␟2017-01-01T00:00:00Z,[1965 TO 2017],True,Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2044425-4,572z,1471-6860,1 (1965) - 53 (2017),Oxford,Oxford University Press (OUP),AK00003023,"Forum for modern language studies : the journal of literary, cultural and linguistic studies from the middle ages to the present",Erscheint auch als Druck-Ausgabe,0.16.0,AK,1 (1965) - 53 (2017),Forum for Modern Language Studies,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2044425&bibid=DLA␟https://academic.oup.com/fmls/issue
EZB10077,Kant-Studien,"De Gruyter, 1 (1897) -",Volltext (Elektronische Zeitschriftenbibliothek),1897-01-01T00:00:00Z,1897,True,Deutsch␟Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2049354-X,572z,1613-1134,1 (1897) -,Berlin,De Gruyter,AK00003187,Kant-Studien : philosophische Zeitschrift der Kant-Gesellschaft,Erscheint auch als Druck-Ausgabe,0.16.0,AK,1 (1897) -,Kant-Studien,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2049354&bibid=DLA␟https://www.degruyterbrill.com/journal/key/KANT/html
EZB10078,Archiv für Geschichte der Philosophie (1888 - 2024),"De Gruyter, 1 (1888) -",Volltext (Elektronische Zeitschriftenbibliothek),1888-01-01T00:00:00Z,1888,True,Deutsch␟Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2045579-3,572z,1613-0650,1 (1888) -,Berlin [u.a.],De Gruyter,,,,0.16.0,AK,1 (1888) -,Archiv für Geschichte der Philosophie (1888 - 2024),benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2045579&bibid=DLA␟https://www.degruyterbrill.com/journal/key/AGPH/html
EZB10079,Zeitschrift für Germanistische Linguistik (ZGL),"De Gruyter, 1 (1973) -",Volltext (Elektronische Zeitschriftenbibliothek),1973-01-01T00:00:00Z,1973,True,Deutsch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2045557-4,572z,1613-0626,1 (1973) -,Berlin [u.a.]; [Erscheinungsort nicht ermittelbar],De Gruyter,AK00003401,Zeitschrift für germanistische Linguistik : ZGL ; deutsche Sprache in Gegenwart und Geschichte,Erscheint auch als Druck-Ausgabe,0.16.0,AK,1 (1973) -,Zeitschrift für Germanistische Linguistik (ZGL),benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2045557&bibid=DLA␟https://www.degruyterbrill.com/journal/key/ZFGL/html
EZB10100,Journal of Literary Semantics (JLS),"Mouton de Gruyter, 1 (1972) -",Volltext (Elektronische Zeitschriftenbibliothek),1972-01-01T00:00:00Z,1972,True,Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2045066-7,572z,1613-3838,1 (1972) -,Berlin [u.a.],Mouton de Gruyter,AK00004281,Journal of literary semantics : JLS,Erscheint auch als Druck-Ausgabe,0.16.0,AK,1 (1972) -,Journal of Literary Semantics (JLS),benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2045066&bibid=DLA␟https://www.degruyterbrill.com/journal/key/JLSE/html
EZB101123,Contemporary Women's Writing,"Oxford University Press, 1 (2007) - 11 (2017)",Volltext (Elektronische Zeitschriftenbibliothek),2007-01-01T00:00:00Z␟2017-01-01T00:00:00Z,[2007 TO 2017],True,Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2377079-X,572z,1754-1484,1 (2007) - 11 (2017),Oxford,Oxford University Press,,,,0.16.0,AK,1 (2007) - 11 (2017),Contemporary Women's Writing,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2377079&bibid=DLA␟https://academic.oup.com/cww/issue
EZB101171,Restaurator: International Journal for the Preservation of Library and Archival Material (1970-2024),"De Gruyter, 1 (1970) -",Volltext (Elektronische Zeitschriftenbibliothek),1970-01-01T00:00:00Z,1970,True,Englisch␟Französisch␟Deutsch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2066965-3,572z,1865-8431,1 (1970) -,Berlin; Copenhagen; München,De Gruyter,AK00036683,Restaurator : internat. journal for the preservation of library and archival material,Erscheint auch als Druck-Ausgabe,0.16.0,AK,1 (1970) -,Restaurator: International Journal for the Preservation of Library and Archival Material (1970-2024),benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2066965&bibid=DLA␟https://www.degruyterbrill.com/journal/key/REST/html
EZB101316,Internationales Archiv für Sozialgeschichte der deutschen Literatur (IASL),"Niemeyer ; de Gruyter, 1 (1976) -",Volltext (Elektronische Zeitschriftenbibliothek),1976-01-01T00:00:00Z,1976,True,Deutsch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2407589-9,572z,1865-9128,1 (1976) -,Berlin,Niemeyer ; de Gruyter,AK00004544,Internationales Archiv für Sozialgeschichte der deutschen Literatur : IASL,Erscheint auch als Druck-Ausgabe,0.16.0,AK,1 (1976) -,Internationales Archiv für Sozialgeschichte der deutschen Literatur (IASL),benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2407589&bibid=DLA␟https://www.degruyterbrill.com/journal/key/IASL/html
